255	255	255
255	252	255
254	250	255
254	247	255
254	245	255
253	242	254
253	240	254
253	238	254
252	235	253
252	233	253
252	231	253
251	229	252
251	227	252
250	225	251
250	222	250
250	220	250
249	218	249
249	216	249
249	214	248
248	212	247
248	211	247
247	209	246
247	207	245
247	205	245
246	203	244
246	201	243
245	199	242
245	198	241
244	196	241
244	194	240
244	192	239
243	191	238
243	189	237
242	187	236
242	186	235
241	184	235
241	182	234
240	181	233
240	179	232
239	178	231
239	176	230
238	175	229
238	173	228
238	171	227
237	170	226
237	168	225
236	167	224
236	165	223
235	164	222
235	163	221
234	161	220
233	160	219
233	158	218
232	157	217
232	155	216
231	154	215
231	153	214
230	151	212
230	150	211
229	149	210
229	147	209
228	146	208
228	145	207
227	143	206
226	142	205
226	141	204
225	139	202
225	138	201
224	137	200
223	135	199
223	134	198
222	133	197
222	132	196
221	131	194
220	129	193
220	128	192
219	127	191
219	126	190
218	124	189
217	123	187
217	122	186
216	121	185
215	120	184
215	119	183
214	118	181
213	116	180
213	115	179
212	114	178
211	113	177
211	112	175
210	111	174
209	110	173
209	109	172
208	108	171
207	106	169
207	105	168
206	104	167
205	103	166
204	102	164
204	101	163
203	100	162
202	99	161
201	98	159
201	97	158
200	96	157
199	95	156
198	94	154
198	93	153
197	92	152
196	91	151
195	90	149
195	89	148
194	88	147
193	87	146
192	86	144
191	85	143
191	84	142
190	84	141
189	83	139
188	82	138
187	81	137
186	80	136
186	79	134
185	78	133
184	77	132
183	76	131
182	75	129
181	75	128
180	74	127
180	73	126
179	72	124
178	71	123
177	70	122
176	69	121
175	69	119
174	68	118
173	67	117
172	66	116
171	65	114
171	64	113
170	64	112
169	63	111
168	62	109
167	61	108
166	60	107
165	60	106
164	59	104
163	58	103
162	57	102
161	57	101
160	56	99
159	55	98
158	54	97
157	54	96
156	53	94
155	52	93
154	51	92
153	51	91
152	50	89
151	49	88
150	48	87
149	48	86
147	47	84
146	46	83
145	46	82
144	45	81
143	44	80
142	44	78
141	43	77
140	42	76
139	42	75
137	41	74
136	40	72
135	40	71
134	39	70
133	38	69
132	38	68
131	37	66
129	36	65
128	36	64
127	35	63
126	35	62
124	34	61
123	33	59
122	33	58
121	32	57
120	32	56
118	31	55
117	30	54
116	30	53
114	29	51
113	29	50
112	28	49
110	27	48
109	27	47
108	26	46
106	26	45
105	25	44
104	25	43
102	24	41
101	24	40
100	23	39
98	23	38
97	22	37
95	22	36
94	21	35
92	20	34
91	20	33
90	19	32
88	19	31
87	18	30
85	18	29
84	17	28
82	17	27
80	17	26
79	16	25
77	16	24
76	15	23
74	15	22
73	14	21
71	14	20
69	13	20
68	13	19
66	12	18
64	12	17
63	11	16
61	11	15
59	11	14
57	10	14
56	10	13
54	9	12
52	9	11
50	8	10
48	8	10
46	8	9
44	7	8
43	7	8
41	6	7
39	6	6
37	6	6
35	5	5
33	5	5
30	5	4
28	4	3
26	4	3
24	3	2
22	3	2
20	3	2
17	2	1
15	2	1
13	2	1
10	1	0
8	1	0
5	1	0
3	0	0
0	0	0
