255	255	255
253	254	251
251	253	247
249	252	243
247	251	239
245	250	235
243	249	232
241	248	228
239	247	224
237	246	220
235	245	217
233	244	213
231	243	209
229	242	206
227	241	202
225	240	199
223	238	195
221	237	192
219	236	188
217	235	185
215	234	181
213	233	178
211	232	175
209	231	171
207	230	168
205	229	165
203	228	162
201	226	158
199	225	155
197	224	152
195	223	149
193	222	146
191	221	143
189	220	140
187	218	137
185	217	134
183	216	131
181	215	128
179	214	126
177	212	123
175	211	120
173	210	117
171	209	115
169	208	112
167	206	109
165	205	107
163	204	104
161	203	102
159	201	99
157	200	97
155	199	94
153	198	92
151	196	89
149	195	87
147	194	85
145	192	82
143	191	80
141	190	78
139	188	76
137	187	74
135	186	71
133	184	69
131	183	67
129	181	65
127	180	63
125	179	61
123	177	59
121	176	57
119	174	56
117	173	54
115	171	52
113	170	50
111	168	48
109	167	47
107	165	45
105	164	43
103	162	42
101	160	40
99	159	38
97	157	37
95	156	35
93	154	34
91	152	32
89	151	31
87	149	30
85	147	28
83	145	27
81	144	26
79	142	24
77	140	23
75	138	22
73	136	21
71	135	20
69	133	19
67	131	18
65	129	17
63	127	16
61	125	15
59	123	14
57	121	13
55	118	12
53	116	11
51	114	10
49	112	9
47	109	9
45	107	8
43	105	7
41	102	7
39	100	6
37	97	5
35	94	5
33	92	4
31	89	4
29	86	3
27	83	3
25	80	2
23	77	2
21	73	2
19	70	1
17	66	1
15	62	1
13	58	1
11	53	0
9	48	0
7	42	0
5	36	0
3	28	0
1	16	0
1	0	16
3	0	28
5	0	36
7	0	42
9	0	48
11	0	53
13	1	58
15	1	62
17	1	66
19	1	70
21	2	73
23	2	77
25	2	80
27	3	83
29	3	86
31	4	89
33	4	92
35	5	94
37	5	97
39	6	100
41	7	102
43	7	105
45	8	107
47	9	109
49	9	112
51	10	114
53	11	116
55	12	118
57	13	121
59	14	123
61	15	125
63	16	127
65	17	129
67	18	131
69	19	133
71	20	135
73	21	136
75	22	138
77	23	140
79	24	142
81	26	144
83	27	145
85	28	147
87	30	149
89	31	151
91	32	152
93	34	154
95	35	156
97	37	157
99	38	159
101	40	160
103	42	162
105	43	164
107	45	165
109	47	167
111	48	168
113	50	170
115	52	171
117	54	173
119	56	174
121	57	176
123	59	177
125	61	179
127	63	180
129	65	181
131	67	183
133	69	184
135	71	186
137	74	187
139	76	188
141	78	190
143	80	191
145	82	192
147	85	194
149	87	195
151	89	196
153	92	198
155	94	199
157	97	200
159	99	201
161	102	203
163	104	204
165	107	205
167	109	206
169	112	208
171	115	209
173	117	210
175	120	211
177	123	212
179	126	214
181	128	215
183	131	216
185	134	217
187	137	218
189	140	220
191	143	221
193	146	222
195	149	223
197	152	224
199	155	225
201	158	226
203	162	228
205	165	229
207	168	230
209	171	231
211	175	232
213	178	233
215	181	234
217	185	235
219	188	236
221	192	237
223	195	238
225	199	240
227	202	241
229	206	242
231	209	243
233	213	244
235	217	245
237	220	246
239	224	247
241	228	248
243	232	249
245	235	250
247	239	251
249	243	252
251	247	253
253	251	254
255	255	255
