255	255	255
252	255	255
250	254	255
247	254	255
245	254	255
242	253	254
240	253	254
238	253	254
235	252	253
233	252	253
231	252	253
229	251	252
227	251	252
225	250	251
222	250	250
220	250	250
218	249	249
216	249	249
214	249	248
212	248	247
211	248	247
209	247	246
207	247	245
205	247	245
203	246	244
201	246	243
199	245	242
198	245	241
196	244	241
194	244	240
192	244	239
191	243	238
189	243	237
187	242	236
186	242	235
184	241	235
182	241	234
181	240	233
179	240	232
178	239	231
176	239	230
175	238	229
173	238	228
171	238	227
170	237	226
168	237	225
167	236	224
165	236	223
164	235	222
163	235	221
161	234	220
160	233	219
158	233	218
157	232	217
155	232	216
154	231	215
153	231	214
151	230	212
150	230	211
149	229	210
147	229	209
146	228	208
145	228	207
143	227	206
142	226	205
141	226	204
139	225	202
138	225	201
137	224	200
135	223	199
134	223	198
133	222	197
132	222	196
131	221	194
129	220	193
128	220	192
127	219	191
126	219	190
124	218	189
123	217	187
122	217	186
121	216	185
120	215	184
119	215	183
118	214	181
116	213	180
115	213	179
114	212	178
113	211	177
112	211	175
111	210	174
110	209	173
109	209	172
108	208	171
106	207	169
105	207	168
104	206	167
103	205	166
102	204	164
101	204	163
100	203	162
99	202	161
98	201	159
97	201	158
96	200	157
95	199	156
94	198	154
93	198	153
92	197	152
91	196	151
90	195	149
89	195	148
88	194	147
87	193	146
86	192	144
85	191	143
84	191	142
84	190	141
83	189	139
82	188	138
81	187	137
80	186	136
79	186	134
78	185	133
77	184	132
76	183	131
75	182	129
75	181	128
74	180	127
73	180	126
72	179	124
71	178	123
70	177	122
69	176	121
69	175	119
68	174	118
67	173	117
66	172	116
65	171	114
64	171	113
64	170	112
63	169	111
62	168	109
61	167	108
60	166	107
60	165	106
59	164	104
58	163	103
57	162	102
57	161	101
56	160	99
55	159	98
54	158	97
54	157	96
53	156	94
52	155	93
51	154	92
51	153	91
50	152	89
49	151	88
48	150	87
48	149	86
47	147	84
46	146	83
46	145	82
45	144	81
44	143	80
44	142	78
43	141	77
42	140	76
42	139	75
41	137	74
40	136	72
40	135	71
39	134	70
38	133	69
38	132	68
37	131	66
36	129	65
36	128	64
35	127	63
35	126	62
34	124	61
33	123	59
33	122	58
32	121	57
32	120	56
31	118	55
30	117	54
30	116	53
29	114	51
29	113	50
28	112	49
27	110	48
27	109	47
26	108	46
26	106	45
25	105	44
25	104	43
24	102	41
24	101	40
23	100	39
23	98	38
22	97	37
22	95	36
21	94	35
20	92	34
20	91	33
19	90	32
19	88	31
18	87	30
18	85	29
17	84	28
17	82	27
17	80	26
16	79	25
16	77	24
15	76	23
15	74	22
14	73	21
14	71	20
13	69	20
13	68	19
12	66	18
12	64	17
11	63	16
11	61	15
11	59	14
10	57	14
10	56	13
9	54	12
9	52	11
8	50	10
8	48	10
8	46	9
7	44	8
7	43	8
6	41	7
6	39	6
6	37	6
5	35	5
5	33	5
5	30	4
4	28	3
4	26	3
3	24	2
3	22	2
3	20	2
2	17	1
2	15	1
2	13	1
1	10	0
1	8	0
1	5	0
0	3	0
0	0	0
