255	255	255
255	253	223
255	251	210
255	249	200
255	247	192
255	245	184
255	243	178
255	241	172
254	239	166
254	237	161
254	235	156
254	233	151
254	231	147
254	229	143
253	227	139
253	225	135
253	223	131
253	221	128
252	219	124
252	217	121
252	215	118
252	213	115
251	211	112
251	209	109
250	207	106
250	205	103
250	203	101
249	201	98
249	199	96
248	197	93
248	195	91
247	193	88
247	191	86
246	189	84
246	187	82
245	185	80
245	183	77
244	181	75
243	179	73
243	177	71
242	175	70
241	173	68
241	171	66
240	169	64
239	167	62
239	165	61
238	163	59
237	161	57
236	159	56
235	157	54
235	155	53
234	153	51
233	151	50
232	149	48
231	147	47
230	145	45
229	143	44
228	141	43
227	139	41
226	137	40
225	135	39
224	133	37
223	131	36
222	129	35
221	127	34
219	125	33
218	123	32
217	121	31
216	119	29
214	117	28
213	115	27
212	113	26
210	111	25
209	109	24
208	107	24
206	105	23
205	103	22
203	101	21
202	99	20
200	97	19
199	95	18
197	93	18
195	91	17
194	89	16
192	87	15
190	85	15
188	83	14
186	81	13
185	79	13
183	77	12
181	75	11
179	73	11
177	71	10
174	69	10
172	67	9
170	65	8
168	63	8
165	61	7
163	59	7
161	57	6
158	55	6
156	53	6
153	51	5
150	49	5
148	47	4
145	45	4
142	43	4
139	41	3
136	39	3
132	37	3
129	35	2
125	33	2
122	31	2
118	29	2
114	27	1
110	25	1
106	23	1
101	21	1
97	19	1
92	17	1
86	15	0
80	13	0
74	11	0
67	9	0
59	7	0
50	5	0
39	3	0
23	1	0
0	1	23
0	3	39
0	5	50
0	7	59
0	9	67
0	11	74
0	13	80
0	15	86
1	17	92
1	19	97
1	21	101
1	23	106
1	25	110
1	27	114
2	29	118
2	31	122
2	33	125
2	35	129
3	37	132
3	39	136
3	41	139
4	43	142
4	45	145
4	47	148
5	49	150
5	51	153
6	53	156
6	55	158
6	57	161
7	59	163
7	61	165
8	63	168
8	65	170
9	67	172
10	69	174
10	71	177
11	73	179
11	75	181
12	77	183
13	79	185
13	81	186
14	83	188
15	85	190
15	87	192
16	89	194
17	91	195
18	93	197
18	95	199
19	97	200
20	99	202
21	101	203
22	103	205
23	105	206
24	107	208
24	109	209
25	111	210
26	113	212
27	115	213
28	117	214
29	119	216
31	121	217
32	123	218
33	125	219
34	127	221
35	129	222
36	131	223
37	133	224
39	135	225
40	137	226
41	139	227
43	141	228
44	143	229
45	145	230
47	147	231
48	149	232
50	151	233
51	153	234
53	155	235
54	157	235
56	159	236
57	161	237
59	163	238
61	165	239
62	167	239
64	169	240
66	171	241
68	173	241
70	175	242
71	177	243
73	179	243
75	181	244
77	183	245
80	185	245
82	187	246
84	189	246
86	191	247
88	193	247
91	195	248
93	197	248
96	199	249
98	201	249
101	203	250
103	205	250
106	207	250
109	209	251
112	211	251
115	213	252
118	215	252
121	217	252
124	219	252
128	221	253
131	223	253
135	225	253
139	227	253
143	229	254
147	231	254
151	233	254
156	235	254
161	237	254
166	239	254
172	241	255
178	243	255
184	245	255
192	247	255
200	249	255
210	251	255
223	253	255
255	255	255
