255	255	255
254	253	251
253	251	247
252	249	243
251	247	239
250	245	236
249	243	232
248	241	228
247	239	224
246	237	221
245	235	217
244	233	214
243	232	210
242	230	207
241	228	203
240	226	200
239	224	197
238	222	194
237	220	190
236	218	187
235	217	184
234	215	181
233	213	178
232	211	175
231	209	172
230	207	169
229	206	166
228	204	163
227	202	160
226	200	157
225	199	155
224	197	152
223	195	149
222	193	146
221	192	144
220	190	141
219	188	139
218	186	136
217	185	134
216	183	131
215	181	129
214	180	126
213	178	124
212	176	122
211	175	120
210	173	117
209	171	115
208	170	113
207	168	111
206	166	109
205	165	107
204	163	104
203	162	102
202	160	100
201	158	98
200	157	96
199	155	95
198	154	93
197	152	91
196	151	89
195	149	87
194	148	85
193	146	84
192	145	82
191	143	80
190	142	79
189	140	77
188	139	75
187	137	74
186	136	72
185	134	71
184	133	69
183	131	68
182	130	66
181	128	65
180	127	63
179	126	62
178	124	61
177	123	59
176	121	58
175	120	57
174	119	55
173	117	54
172	116	53
171	115	52
170	113	50
169	112	49
168	111	48
167	109	47
166	108	46
165	107	45
164	105	44
163	104	43
162	103	42
161	102	41
160	100	40
159	99	39
158	98	38
157	97	37
156	95	36
155	94	35
154	93	34
153	92	33
152	91	32
151	89	31
150	88	31
149	87	30
148	86	29
147	85	28
146	84	27
145	82	27
144	81	26
143	80	25
142	79	25
141	78	24
140	77	23
139	76	23
138	75	22
137	74	21
136	73	21
135	71	20
134	70	19
133	69	19
132	68	18
131	67	18
130	66	17
129	65	17
128	64	16
127	63	16
126	62	15
125	61	15
124	60	14
123	59	14
122	58	13
121	57	13
120	56	13
119	56	12
118	55	12
117	54	11
116	53	11
115	52	11
114	51	10
113	50	10
112	49	9
111	48	9
110	47	9
109	47	9
108	46	8
107	45	8
106	44	8
105	43	7
104	42	7
103	42	7
102	41	7
101	40	6
100	39	6
99	38	6
98	38	6
97	37	5
96	36	5
95	35	5
94	35	5
93	34	5
92	33	4
91	32	4
90	32	4
89	31	4
88	30	4
87	30	3
86	29	3
85	28	3
84	28	3
83	27	3
82	26	3
81	26	3
80	25	2
79	24	2
78	24	2
77	23	2
76	23	2
75	22	2
74	21	2
73	21	2
72	20	2
71	20	2
70	19	1
69	19	1
68	18	1
67	18	1
66	17	1
65	17	1
64	16	1
63	16	1
62	15	1
61	15	1
60	14	1
59	14	1
58	13	1
57	13	1
56	12	1
55	12	1
54	11	1
53	11	0
52	11	0
51	10	0
50	10	0
49	9	0
48	9	0
47	9	0
46	8	0
45	8	0
44	8	0
43	7	0
42	7	0
41	7	0
40	6	0
39	6	0
38	6	0
37	5	0
36	5	0
35	5	0
34	5	0
33	4	0
32	4	0
31	4	0
30	4	0
29	3	0
28	3	0
27	3	0
26	3	0
25	2	0
24	2	0
23	2	0
22	2	0
21	2	0
20	2	0
19	1	0
18	1	0
17	1	0
16	1	0
15	1	0
14	1	0
13	1	0
12	1	0
11	0	0
10	0	0
9	0	0
8	0	0
7	0	0
6	0	0
5	0	0
4	0	0
3	0	0
2	0	0
1	0	0
0	0	0
