255	255	255
251	254	253
247	253	251
243	252	249
239	251	247
235	250	245
232	249	243
228	248	241
224	247	239
220	246	237
217	245	235
213	244	233
209	243	231
206	242	229
202	241	227
199	240	225
195	238	223
192	237	221
188	236	219
185	235	217
181	234	215
178	233	213
175	232	211
171	231	209
168	230	207
165	229	205
162	228	203
158	226	201
155	225	199
152	224	197
149	223	195
146	222	193
143	221	191
140	220	189
137	218	187
134	217	185
131	216	183
128	215	181
126	214	179
123	212	177
120	211	175
117	210	173
115	209	171
112	208	169
109	206	167
107	205	165
104	204	163
102	203	161
99	201	159
97	200	157
94	199	155
92	198	153
89	196	151
87	195	149
85	194	147
82	192	145
80	191	143
78	190	141
76	188	139
74	187	137
71	186	135
69	184	133
67	183	131
65	181	129
63	180	127
61	179	125
59	177	123
57	176	121
56	174	119
54	173	117
52	171	115
50	170	113
48	168	111
47	167	109
45	165	107
43	164	105
42	162	103
40	160	101
38	159	99
37	157	97
35	156	95
34	154	93
32	152	91
31	151	89
30	149	87
28	147	85
27	145	83
26	144	81
24	142	79
23	140	77
22	138	75
21	136	73
20	135	71
19	133	69
18	131	67
17	129	65
16	127	63
15	125	61
14	123	59
13	121	57
12	118	55
11	116	53
10	114	51
9	112	49
9	109	47
8	107	45
7	105	43
7	102	41
6	100	39
5	97	37
5	94	35
4	92	33
4	89	31
3	86	29
3	83	27
2	80	25
2	77	23
2	73	21
1	70	19
1	66	17
1	62	15
1	58	13
0	53	11
0	48	9
0	42	7
0	36	5
0	28	3
0	16	1
16	0	1
28	0	3
36	0	5
42	0	7
48	0	9
53	0	11
58	1	13
62	1	15
66	1	17
70	1	19
73	2	21
77	2	23
80	2	25
83	3	27
86	3	29
89	4	31
92	4	33
94	5	35
97	5	37
100	6	39
102	7	41
105	7	43
107	8	45
109	9	47
112	9	49
114	10	51
116	11	53
118	12	55
121	13	57
123	14	59
125	15	61
127	16	63
129	17	65
131	18	67
133	19	69
135	20	71
136	21	73
138	22	75
140	23	77
142	24	79
144	26	81
145	27	83
147	28	85
149	30	87
151	31	89
152	32	91
154	34	93
156	35	95
157	37	97
159	38	99
160	40	101
162	42	103
164	43	105
165	45	107
167	47	109
168	48	111
170	50	113
171	52	115
173	54	117
174	56	119
176	57	121
177	59	123
179	61	125
180	63	127
181	65	129
183	67	131
184	69	133
186	71	135
187	74	137
188	76	139
190	78	141
191	80	143
192	82	145
194	85	147
195	87	149
196	89	151
198	92	153
199	94	155
200	97	157
201	99	159
203	102	161
204	104	163
205	107	165
206	109	167
208	112	169
209	115	171
210	117	173
211	120	175
212	123	177
214	126	179
215	128	181
216	131	183
217	134	185
218	137	187
220	140	189
221	143	191
222	146	193
223	149	195
224	152	197
225	155	199
226	158	201
228	162	203
229	165	205
230	168	207
231	171	209
232	175	211
233	178	213
234	181	215
235	185	217
236	188	219
237	192	221
238	195	223
240	199	225
241	202	227
242	206	229
243	209	231
244	213	233
245	217	235
246	220	237
247	224	239
248	228	241
249	232	243
250	235	245
251	239	247
252	243	249
253	247	251
254	251	253
255	255	255
