0	23	1
0	39	3
0	50	5
0	59	7
0	67	9
0	74	11
0	80	13
0	86	15
1	92	17
1	97	19
1	101	21
1	106	23
1	110	25
1	114	27
2	118	29
2	122	31
2	125	33
2	129	35
3	132	37
3	136	39
3	139	41
4	142	43
4	145	45
4	148	47
5	150	49
5	153	51
6	156	53
6	158	55
6	161	57
7	163	59
7	165	61
8	168	63
8	170	65
9	172	67
10	174	69
10	177	71
11	179	73
11	181	75
12	183	77
13	185	79
13	186	81
14	188	83
15	190	85
15	192	87
16	194	89
17	195	91
18	197	93
18	199	95
19	200	97
20	202	99
21	203	101
22	205	103
23	206	105
24	208	107
24	209	109
25	210	111
26	212	113
27	213	115
28	214	117
29	216	119
31	217	121
32	218	123
33	219	125
34	221	127
35	222	129
36	223	131
37	224	133
39	225	135
40	226	137
41	227	139
43	228	141
44	229	143
45	230	145
47	231	147
48	232	149
50	233	151
51	234	153
53	235	155
54	235	157
56	236	159
57	237	161
59	238	163
61	239	165
62	239	167
64	240	169
66	241	171
68	241	173
70	242	175
71	243	177
73	243	179
75	244	181
77	245	183
80	245	185
82	246	187
84	246	189
86	247	191
88	247	193
91	248	195
93	248	197
96	249	199
98	249	201
101	250	203
103	250	205
106	250	207
109	251	209
112	251	211
115	252	213
118	252	215
121	252	217
124	252	219
128	253	221
131	253	223
135	253	225
139	253	227
143	254	229
147	254	231
151	254	233
156	254	235
161	254	237
166	254	239
172	255	241
178	255	243
184	255	245
192	255	247
200	255	249
210	255	251
223	255	253
255	255	255
255	255	255
255	223	253
255	210	251
255	200	249
255	192	247
255	184	245
255	178	243
255	172	241
254	166	239
254	161	237
254	156	235
254	151	233
254	147	231
254	143	229
253	139	227
253	135	225
253	131	223
253	128	221
252	124	219
252	121	217
252	118	215
252	115	213
251	112	211
251	109	209
250	106	207
250	103	205
250	101	203
249	98	201
249	96	199
248	93	197
248	91	195
247	88	193
247	86	191
246	84	189
246	82	187
245	80	185
245	77	183
244	75	181
243	73	179
243	71	177
242	70	175
241	68	173
241	66	171
240	64	169
239	62	167
239	61	165
238	59	163
237	57	161
236	56	159
235	54	157
235	53	155
234	51	153
233	50	151
232	48	149
231	47	147
230	45	145
229	44	143
228	43	141
227	41	139
226	40	137
225	39	135
224	37	133
223	36	131
222	35	129
221	34	127
219	33	125
218	32	123
217	31	121
216	29	119
214	28	117
213	27	115
212	26	113
210	25	111
209	24	109
208	24	107
206	23	105
205	22	103
203	21	101
202	20	99
200	19	97
199	18	95
197	18	93
195	17	91
194	16	89
192	15	87
190	15	85
188	14	83
186	13	81
185	13	79
183	12	77
181	11	75
179	11	73
177	10	71
174	10	69
172	9	67
170	8	65
168	8	63
165	7	61
163	7	59
161	6	57
158	6	55
156	6	53
153	5	51
150	5	49
148	4	47
145	4	45
142	4	43
139	3	41
136	3	39
132	3	37
129	2	35
125	2	33
122	2	31
118	2	29
114	1	27
110	1	25
106	1	23
101	1	21
97	1	19
92	1	17
86	0	15
80	0	13
74	0	11
67	0	9
59	0	7
50	0	5
39	0	3
23	0	1
