1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
1	15	29
